Source;Post;ID ath;Data;type;like;comm;reposts;views
-147375429;-147375429;-147375429;1623508462;1;0;0;0;21
-147511057;-147511057;-147511057;1623246411;1;4;0;0;1440
-148083813;-148083813;-148083813;1622563512;1;4;3;0;84
-148154348;-148154348;-148154348;1623045606;1;163;0;19;7411
-148221312;-148221312;-148221312;1622781000;1;47;4;2;4085
-148235461;-148235461;-148235461;1624281000;1;16;2;11;5083
-169997306;-169997306;-169997306;1622563060;1;4;0;1;68
-148235461;-148235461;-148235461;1623446562;1;691;47;138;26374
-148235461;-148235461;-148235461;1623410400;1;11;16;7;4143
-14837503;-14837503;-14837503;1623394307;1;44;0;22;3268
-148645548;-148645548;-148645548;1623319587;1;7;0;1;28
-148713759;-148713759;-148713759;1622479096;1;2;0;1;148
-150139777;-150139777;-150139777;1624017856;1;2;0;0;27
-152606967;-152606967;-152606967;1623610802;1;15;4;0;219
-150139777;-150139777;-150139777;1624683856;1;2;0;0;30
-149019489;-149019489;-149019489;1622457120;1;1;0;0;72
-149019489;-149019489;-149019489;1623408908;1;0;0;0;56
-149706399;-149706399;-149706399;1622552952;1;0;0;0;6
-149729585;-149729585;-149729585;1622467392;1;0;0;0;4
-150139777;-150139777;-150139777;1622487913;1;1;0;0;18
-150139777;-150139777;-150139777;1622938967;1;2;0;0;30
-150139777;-150139777;-150139777;1623488684;1;0;0;0;10
-152606778;-152606778;-152606778;1623458631;1;7;0;1;275
-150139777;-150139777;-150139777;1624922356;1;1;0;0;17
-152693039;-152693039;-152693039;1623420005;1;1;0;0;174
-150179475;-150179475;-150179475;1622567647;1;19;2;7;82815
-150179475;-150179475;-150179475;1622461695;1;10;0;6;2930
-150349037;-150349037;-150349037;1623056405;1;364;1;34;4966
-150498843;-150498843;-150498843;1623333901;1;2;1;1;1640
-150498843;-150498843;-150498843;1622983961;1;4;8;3;3123
-151607713;-151607713;-151607713;1623680534;1;30;17;7;4045
-151607713;-151607713;-151607713;1622576886;1;4;1;1;458
-150655754;-150655754;-150655754;1623340755;1;1;0;0;19
-150682911;-150682911;-150682911;1622620740;1;8;0;1;548
-150682911;-150682911;-150682911;1623424166;1;8;5;7;621
-150682911;-150682911;-150682911;1623955437;1;6;9;3;681
1230118;-151127890;151363952;1624811429;0,5;1;0;0;0
-150498843;-150498843;-150498843;1622654112;1;0;0;3;2068
-150498843;-150498843;-150498843;1623913500;1;5;0;7;2407
-151607713;-151607713;-151607713;1624303921;1;10;0;0;824
-151773605;-151773605;-151773605;1622876407;1;26;0;2;121
-151773605;-151773605;-151773605;1623348002;1;6;0;1;118
-152267873;-152267873;-152267873;1622803648;1;0;0;0;48
-152606676;-152606676;-152606676;1623612117;1;1;0;1;165
-152606778;-152606778;-152606778;1622648580;1;0;0;0;76
-153300547;-153300547;-153300547;1623229449;1;9;3;1;643
-153300547;-153300547;-153300547;1622483507;1;8;1;3;660
-152722834;-152722834;-152722834;1623605460;1;15;0;1;367
-152827810;-152827810;-152827810;1623507168;1;2;0;0;630
-152992737;-152992737;-152992737;1622563206;1;69;7;11;36893
-153146938;-153146938;-153146938;1622543880;1;26;0;6;1753
-153300547;-153300547;-153300547;1622787021;1;8;1;1;704
-164489662;-164489662;-164489662;1622731868;1;0;0;2;589
-153300547;-153300547;-153300547;1623844009;1;9;0;3;592
-153300547;-153300547;-153300547;1624524277;1;8;0;1;415
-153300547;-153300547;-153300547;1624259422;1;14;0;3;479
-153300547;-153300547;-153300547;1624868873;1;12;2;0;664
-153314877;-153314877;-153314877;1623257400;1;35;0;11;2513
-153399325;-153399325;-153399325;1623137164;1;8;1;1;718
-154280358;-154280358;-154280358;1623382200;1;4;3;0;147
-154762881;-154762881;-154762881;1624882506;1;4;3;0;76
-154857154;-154857154;-154857154;1624019580;1;0;0;0;33
-154996002;-154996002;-154996002;1624551954;1;61;3;2;1741
-155230944;-155230944;-155230944;1623507496;1;7;1;1;438
-155230944;-155230944;-155230944;1624717099;1;5;0;1;141
-163303813;-163303813;-163303813;1623223079;1;22;2;0;2084
-153882351;-153882351;-153882351;1624464063;1;0;0;0;77
-156270716;-156270716;-156270716;1622793742;1;86;7;24;8872
-156270716;-156270716;-156270716;1624990625;1;57;0;14;5963
-156910093;-156910093;-156910093;1624608007;1;42;4;2;5182
-157827886;-157827886;-157827886;1622716620;1;25;0;2;2283
-159498274;-159498274;-159498274;1623054517;1;0;0;0;18
-157827886;-157827886;-157827886;1623148620;1;141;8;7;5444
-157619594;-157619594;-157619594;1624428911;1;23;0;2;2214
-157667654;-157667654;-157667654;1624518711;1;0;0;0;28
-157827886;-157827886;-157827886;1622536620;1;18;5;77;7548
81561;-157827886;527724089;1622436710;0,5;2;0;0;0
81561;-157827886;10189661;1622411690;0,5;4;0;0;0
-157827886;-157827886;-157827886;1623940620;1;29;10;5;2791
-157827886;-157827886;-157827886;1624883820;1;31;13;39;9724
-159457756;-159457756;-159457756;1622518924;1;1;0;0;161
81656;-157827886;447446183;1622633582;0,5;0;0;0;0
-159498274;-159498274;-159498274;1622882783;1;0;0;0;39
-157827886;-157827886;-157827886;1623501420;1;16;1;2;2105
-157827886;-157827886;-157827886;1624091820;1;9;6;4;6923
84755;-157827886;4821792;1624890418;0,5;4;0;0;0
-158333712;-158333712;-158333712;1622720107;1;0;0;0;122
-158333712;-158333712;-158333712;1622718660;1;5;0;1;309
-158333712;-158333712;-158333712;1622642880;1;3;0;0;203
-158333712;-158333712;-158333712;1622464824;1;0;0;0;92
-158333712;-158333712;-158333712;1622457121;1;0;0;0;151
-158488265;-158488265;-158488265;1624460280;1;33;0;4;1374
-158436389;-158436389;-158436389;1623092280;1;175;2;29;12054
-158436389;-158436389;-158436389;1622625180;1;229;15;29;15518
-158436389;-158436389;-158436389;1623566452;1;238;7;12;14527
-158436389;-158436389;-158436389;1624654954;1;299;7;90;16700
-158333712;-158333712;-158333712;1623408909;1;0;0;2;130
-158436389;-158436389;-158436389;1622744338;1;241;9;26;11442
-158493693;-158493693;-158493693;1623010237;1;71;12;21;2673
-158493693;-158493693;-158493693;1622712257;1;70;62;12;2423
-158754792;-158754792;-158754792;1623090919;1;0;0;2;555
-158981595;-158981595;-158981595;1623326760;1;65;0;9;2559
